Moisture,Humidity,Temperature,MotorStatus
14.62,56,29,1
18.87,56,29,1
19.34,56,29,1
25.24,55,29,1
28.54,55,29,1
5.896,55,29,1
32.08,55,29,1
18.63,55,29,1
32.08,56,29,1
39.86,56,29,1
42.92,56,29,1
50,56,29,1
60.14,56,29,1
72.64,56,29,1
78.3,55,29,1
85.38,55,29,1
86.79,55,29,0
96.23,55,29,0
98.58,55,29,0
98.11,55,29,0
91.27,55,29,0
91.04,54,29,0
86.79,53,29,0
80.9,53,29,0
74.53,53,29,1
69.58,52,29,1
97.88,52,29,0
98.35,52,29,0
88.68,52,29,0
84.2,52,29,0
75.71,53,29,1
65.8,53,29,1
34.2,53,29,1
18.87,53,29,1
13.92,53,29,1
11.56,53,29,1
12.03,53,29,1
11.56,53,29,1
11.32,53,29,1
4.481,53,29,1
9.198,53,29,1
9.906,53,29,1
6.604,53,29,1
35.38,53,29,1
49.06,53,29,1
60.85,53,29,1
67.45,53,29,1
72.64,53,29,1
73.11,53,29,1
72.64,54,29,1
71.7,54,29,1
71.46,54,29,1
72.17,54,29,1
71.7,54,29,1
70.28,54,29,1
70.99,54,29,1
74.06,54,29,1
80.66,55,29,0
82.31,55,29,0
95.52,55,29,0
82.31,55,29,0
95.52,55,29,0
89.15,56,29,0
77.36,56,29,1
53.54,56,29,1
16.27,56,29,1
31.6,56,29,1
22.88,55,29,1
19.58,56,29,1
18.4,56,29,1
14.15,55,29,1
6.132,55,29,1
20.52,55,29,1
16.27,55,29,1
14.86,56,29,1
13.68,55,29,1
28.54,55,29,1
37.03,55,29,1
45.52,55,29,1
63.21,55,29,1
79.25,55,29,1
89.39,55,29,0
94.81,55,29,0
84.43,56,29,0
19.34,56,29,1
0,56,29,1
2.123,56,29,1
28.77,56,29,1
47.17,56,29,1
58.02,55,29,1
70.99,55,29,1
79.48,55,29,1
91.98,55,29,0
97.64,55,29,0
91,55,29,0
92,55,29,0
93,55,29,0
99,55,29,0
81.1,55,29,0
91.1,55,29,0
80.5,55,29,0
88.3,55,29,0
90,55,29,0
82.7,55,29,0
83.1,55,29,0
87.9,55,29,0
88.9,55,29,0
85.4,55,29,0
83.9,55,29,0
84.2,55,29,0
80.5,55,29,0
81.6,55,29,0
91.4,55,29,0
81.8,55,29,0
83.4,55,29,0
82.8,55,29,0
84.8,55,29,0
85.6,55,29,0
87.6,55,29,0
86.3,55,29,0
88.7,55,29,0
88.5,55,29,0
90.1,55,29,0
90.4,55,29,0
88.4,55,29,0
96.3,55,29,0
92.5,55,29,0
91.9,55,29,0
93.5,55,29,0
94.9,55,29,0
95.4,55,29,0
96.7,55,29,0
88.5,55,29,0
89.4,55,29,0
98.7,55,29,0
99.1,55,29,0
83.4,55,29,0
84.5,55,29,0
85.5,55,29,0
84.3,55,29,0
89.4,55,29,0

